
%NQSII(INFO): ------- Output from job:0000 -------
       5.616s 0002 Spinup Function norm 1.286500993446e+01
       5.524s 0000 Spinup Function norm 4.328962677595e+01
       5.534s 0001 Spinup Function norm 2.228472721859e+01
       5.527s 0002 Spinup Function norm 1.286500993446e+01
       5.245s 0000 Spinup Function norm 4.328962677595e+01
       5.180s 0001 Spinup Function norm 2.228472721859e+01
       5.183s 0002 Spinup Function norm 1.286500993446e+01
       4.915s 0000 Spinup Function norm 4.328962677595e+01
       4.911s 0001 Spinup Function norm 2.228472721859e+01
       4.909s 0002 Spinup Function norm 1.286500993446e+01
       4.854s 0000 Spinup Function norm 4.328962677595e+01
       4.852s 0001 Spinup Function norm 2.228472721859e+01
       4.850s 0002 Spinup Function norm 1.286500993446e+01
       4.692s 0000 Spinup Function norm 4.328962677595e+01
       4.701s 0001 Spinup Function norm 2.228472721859e+01
       4.705s 0002 Spinup Function norm 1.286500993446e+01
       4.474s 0000 Spinup Function norm 4.328962677595e+01
       4.475s 0001 Spinup Function norm 2.228472721859e+01
       4.472s 0002 Spinup Function norm 1.286500993446e+01
       4.335s 0000 Spinup Function norm 4.328962677595e+01
       4.326s 0001 Spinup Function norm 2.228472721859e+01
       4.396s 0002 Spinup Function norm 1.286500993446e+01
       4.242s 0000 Spinup Function norm 4.328962677595e+01
       4.240s 0001 Spinup Function norm 2.228472721859e+01
       4.238s 0002 Spinup Function norm 1.286500993446e+01
       4.185s 0000 Spinup Function norm 4.328962677595e+01
       4.186s 0001 Spinup Function norm 2.228472721859e+01
       4.180s 0002 Spinup Function norm 1.286500993446e+01
       4.131s 0000 Spinup Function norm 4.328962677595e+01
       4.120s 0001 Spinup Function norm 2.228472721859e+01
       4.122s 0002 Spinup Function norm 1.286500993446e+01
       3.996s 0000 Spinup Function norm 4.328962677595e+01
       3.978s 0001 Spinup Function norm 2.228472721859e+01
       3.978s 0002 Spinup Function norm 1.286500993446e+01
